City,Latitude,Longitude,Group
buenos-aires,-34.603333,-58.381667,0
curitiba,-25.416667,-49.25,0
new-orleans-la,29.966667,-90.05,0
tucson-az,32.221667,-110.926389,0
athens,37.966667,23.716667,1
baghdad,33.333333,44.433333,1
bengaluru,12.966667,77.566667,1
bogota,4.598056,-74.075833,1
brasilia,-15.798889,-47.866667,1
cartagena,10.4,-75.5,1
istanbul,41.013611,28.955,1
jakarta,-6.2,106.8,1
kolkata,22.566667,88.366667,1
kyoto,35.011667,135.768333,1
lima,-12.043333,-77.028333,1
manila,14.583333,120.966667,1
mexico-city,19.433333,-99.133333,1
new-delhi,28.613889,77.208889,1
osaka,34.693889,135.502222,1
quito,-0.25,-78.583333,1
santiago,-33.45,-70.666667,1
santo-domingo,18.466667,-69.95,1
seoul,37.566536,126.977969,1
taipei,25.033333,121.633333,1
tokyo,35.689506,139.6917,1
vancouver,49.25,-123.1,1
abu-dhabi,24.46667,54.36667,2
almaty,43.25,76.95,2
amsterdam,52.37403,4.88969,2
ankara,39.91987,32.85427,2
as-suwayda,32.7,36.566667,2
atlanta-ga,33.755,-84.39,2
auckland,-36.840417,174.739869,2
austin-tx,30.25,-97.75,2
baltimore-md,39.283333,-76.616667,2
bangkok,13.75,100.466667,2
barcelona,41.383333,2.183333,2
beijing,39.913889,116.391667,2
berlin,52.516667,13.383333,2
birmingham,52.483056,-1.893611,2
boston-ma,42.358056,-71.063611,2
boulder-co,40.017624,-105.27966,2
bristol,51.45,-2.583333,2
brussels,50.85,4.35,2
bucharest,44.4325,26.103889,2
cairo,30.05,31.233333,2
calgary,51.05,-114.066667,2
campo-grande,-20.462222,-54.611111,2
cardiff,51.483333,-3.183333,2
charlotte-nc,35.226944,-80.843333,2
chelyabinsk,55.154722,61.375833,2
chennai,13.083889,80.27,2
chicago-il,41.881944,-87.627778,2
cincinnati-oh,39.1,-84.516667,2
cleveland-oh,41.482222,-81.669722,2
copenhagen,55.676111,12.568333,2
dallas-tx,32.775833,-96.796667,2
damascus,33.513,36.292,2
dar-es-salaam,-6.8,39.283333,2
denver-co,39.739167,-104.984722,2
detroit-mi,42.331389,-83.045833,2
dhaka,23.7,90.375,2
dubai,25.25,55.3,2
edinburgh,55.953056,-3.188889,2
edmonton,53.533333,-113.5,2
gijon,43.533333,-5.7,2
glasgow,55.858,-4.259,2
hamburg,53.565278,10.001389,2
harare,-17.863889,31.029722,2
helsinki,60.170833,24.9375,2
houston-tx,29.762778,-95.383056,2
indianapolis-in,39.791,-86.148,2
islamabad,33.716667,73.066667,2
johannesburg,-26.204444,28.045556,2
kabul,34.533333,69.166667,2
kampala,0.313611,32.581111,2
karachi,24.86,67.01,2
kathmandu,27.7,85.333333,2
kigali,-1.943889,-1.943889,2
kirovograd,48.5,32.266667,2
lagos,6.453056,3.395833,2
lahore,31.549722,74.343611,2
leeds,53.799722,-1.549167,2
lille,50.6372,3.0633,2
lisbon,38.713811,-9.139386,2
london,51.507222,-0.1275,2
los-angeles-ca,34.05,-118.25,2
lviv,49.85,24.016667,2
madrid,40.4,-3.683333,2
manchester,53.466667,-2.233333,2
marseille,43.2964,5.37,2
melbourne,-37.813611,144.963056,2
miami-fl,25.787676,-80.224145,2
milan,45.466667,9.183333,2
montpellier,43.6119,3.8772,2
montreal,45.5,-73.566667,2
moscow,55.75,37.616667,2
mumbai,18.975,72.825833,2
nairobi,-1.283333,36.816667,2
nantes,47.2181,-1.5528,2
nashville-tn,36.166667,-86.783333,2
newcastle,54.974,-1.6132,2
new-york-ny,43.0,-75.0,2
oslo,59.95,10.75,2
palermo,38.116667,13.366667,2
paris,48.8567,2.3508,2
philadelphia-pa,39.95,-75.166667,2
pittsburgh-pa,40.441667,-80.0,2
port-au-prince,18.533333,-72.333333,2
portland-or,45.52,-122.681944,2
porto-alegre,-30.033056,-51.23,2
porto,41.162142,-8.621953,2
pyongyang,39.019444,125.738056,2
rio-de-janeiro,-22.908333,-43.196389,2
riyadh,24.633333,46.716667,2
rome,41.9,12.5,2
samara,53.202778,50.140833,2
san-francisco-ca,37.783333,-122.416667,2
sao-paulo,-23.55,-46.633333,2
shanghai,31.2,121.5,2
singapore,1.3,103.8,2
sofia,42.7,23.333333,2
st-louis,38.627222,-90.197778,2
st-petersburg,59.95,30.3,2
sydney,-33.859972,151.211111,2
tehran,35.696111,51.423056,2
tel-aviv,32.083333,34.8,2
vienna,48.2,16.366667,2
warsaw,52.233333,21.016667,2
washington-dc,38.895111,-77.036667,2
mogadishu,2.033333,45.35,3
